ID,Title,Artist,Genres,Location,Latitude,Longitude,Tempo,Year
SOEKVHT12AB018D3D0,O For a Thousand Tongues,Glad,"['70s', '80s', 'a cappella', 'ccm', 'christian', 'christmas music', 'contemporary christian', 'country', 'country rock', 'harmony', 'holiday', 'indie rock', 'inspirational', 'lo-fi', 'male vocalist', 'pop', 'praise', 'psychedelic', 'r&b', 'rock']",,,,105,0
SOANWEY12A58A7B504,Tripping Billies,DAVE MATTHEWS BAND,"['acoustic', 'acoustic rock', 'alternative', 'alternative rock', 'banjo', 'bass', 'beautiful', 'blues', 'country', 'funk', 'guitar', 'indie', 'jam', 'jam band', 'jazz', 'melancholia', 'pop', 'rock', 'song writer', 'soul', 'soundtrack']","Charlottesville, VA",,,125,1993
SORXZTW12AB0183775,Things You Do To Me,Martin Sexton,"['acoustic', 'acoustic rock', 'alternative folk', 'american', 'americana', 'blue-eyed soul', 'blues', 'boston', 'cambridge', 'chill-out', 'contemporary folk', 'country', 'east coast', 'female vocalist', 'folk', 'folk rock', 'folk-pop', 'guitar', 'guitar god', 'indie', 'intense', 'mellow', 'new york', 'original', 'ost', 'powerful', 'rock', 'singer-songwriter', 'soul', 'soundtrack', 'syracuse', 'troubadour', 'voice']","Syracuse, NY",,,138,2000
SONPYGH12A6701F6CF,I'mma Break It Down,Eazy-E,"['80s', '90s', 'american', 'black', 'california', 'classic rock', 'classical', 'compton', 'death metal', 'dirty rap', 'dj', 'g funk', 'game', 'gangsta', 'gangster rap', 'hardcore rap', 'hip hop', 'los angeles', 'mexican', 'old', 'old school', 'old school hip hop', 'old school rap', 'pop', 'r&b', 'radio', 'rap', 'remix', 'rock', 'underground', 'underground hip hop', 'urban', 'west coast', 'west coast rap']","Compton, California",,,116,1988
SOSELMV12A6D4FCF5A,Valerie,Amy Winehouse,"['acoustic', 'all-female', 'black', 'blues', 'classic', 'cover', 'diva', 'england', 'female', 'funk', 'funky', 'funny', 'guitar', 'horns', 'jazz', 'lounge', 'pop', 'pop rock', 'rap', 'raw', 'retro', 'rock', 'ska', 'soft', 'soul', 'soulful', 'swing', 'urban', 'vocal', 'vocal jazz']",London,,,96,2007
SOPVANN12AB0186E36,Back A Yard,The In Crowd,"['60s', '60s psychedelic rock', 'acoustic', 'blue-eyed soul', 'british invasion', 'emo', 'freakbeat', 'garage', 'garage rock', 'glam', 'indie', 'mod', 'power pop', 'psychedelic', 'psychedelic rock', 'reggae', 'rock', 'roots reggae', 'world reggae']",,,,122,1979
SOLJQBW12A6702187B,November Has Come,Gorillaz,"['00s', 'alternative', 'alternative hip hop', 'alternative pop rock', 'alternative rap', 'alternative rock', 'ambient', 'british', 'classic rock', 'downtempo', 'dub', 'easy listening', 'electro', 'electronic', 'electronica', 'emo', 'experimental', 'funk', 'grunge', 'hard rock', 'hip hop', 'indie', 'indie pop', 'indie rock', 'instrumental', 'jazz', 'new wave', 'pop', 'pop rap', 'pop rock', 'progressive rock', 'psychedelic', 'punk', 'rap', 'reggae', 'rock', 'soundtrack', 'techno', 'trip hop', 'underground rap']",,,,84,2005
SOWEUOO12A6D4F6D0C,Given Up (Album Version),Linkin Park,"['alternative', 'alternative metal', 'alternative rock', 'los angeles', 'metal', 'nu metal', 'post-grunge', 'punk', 'rap metal', 'rapcore', 'rock']","Los Angeles, CA",34.05349,-118.24532,100,2007
SOKZIXZ12AAF3B2CEC,The Very Conscious,The Antripodean Collective,"['iran', 'patriotic', 'persian', 'world']",,,,61,0
SOWXZFY12A8C13807F,1er Gaou,Magic Systeme,"['african', 'french', 'los angeles', 'soukous']",,,,121,0
SODOSRS12A8C144552,It Ain't What It Seems,Pat Travers,"['80s', 'acoustic', 'album rock', 'alternative', 'alternative rock', 'art rock', 'bebop', 'blues', 'blues-rock', 'canada', 'canadian', 'classic rock', 'dance pop', 'electronic', 'electronica', 'funk', 'germany', 'groovy', 'guitar', 'guitar virtuoso', 'hard rock', 'heavy metal', 'indie', 'jazz', 'latin', 'metal', 'nederland', 'new wave', 'pop', 'pop rock', 'power pop', 'progressive', 'progressive rock', 'protopunk', 'psychedelic rock', 'punk', 'rock', 'soul', 'southern rock', 'space rock', 'spanish', 'stoner metal', 'stoner rock', 'synthpop', 'traditional bluegrass', 'united states', 'world']","Toronto, Canada",43.64856,-79.38533,139,0
SOUKMIK12A6D4F671E,Ja Nun Hons Pris,Bryan Ferry,"['album rock', 'art rock', 'england', 'glam', 'glam rock', 'jazz', 'pop', 'pop rock', 'progressive rock', 'protopunk', 'rock']","Washington, England",54.89814,-1.53179,83,2002
SOGIUHH12A8C138CE0,South Bound Water,Lonnie Johnson,"['30s', '40s', 'acoustic blues', 'acoustic guitar', 'american', 'americana', 'blues', 'blues guitar', 'blues guitarist', 'blues-rock', 'classic blues', 'classic jazz', 'cosmopolitan', 'country blues', 'delta blues', 'dixieland', 'folk', 'guitar', 'guitar blues', 'harmonica blues', 'jazz', 'jazz blues', 'jazz guitar', 'los angeles', 'louisiana', 'mississippi', 'mississippi blues', 'new orleans', 'new orleans soul', 'old blues', 'oldies', 'piano blues', 'piedmont blues', 'pioneer', 'ragtime', 'sexy', 'swing', 'united states']","New Orleans, LA",29.95369,-90.07771,87,0
SOHMIMK12AB018A437,Many Are We,Keep Of Kalessin,"['aggressive', 'black', 'black metal', 'brutal', 'dark', 'death metal', 'epic', 'experimental', 'extreme', 'extreme metal', 'melodic', 'metal', 'raw', 'symphonic', 'thrash metal']",,,,110,2006
SOFKPLB12AC95F0493,The Croppy Boy,The Irish Tenors,"['america', 'american', 'beautiful', 'california', 'canadian', 'carols', 'celtic', 'christian', 'christmas music', 'classical', 'classical crossover', 'country', 'cover', 'deep', 'folk', 'group', 'holiday', 'hymns', 'inspirational', 'instrumental', 'ireland', 'irish', 'irish folk', 'island music', 'new york', 'old', 'opera', 'orchestra', 'original', 'solo', 'songs', 'soul', 'south', 'traditional', 'trio', 'united states', 'vocal', 'voice', 'world', 'worship music']",,,,143,2001
SOAVTUX12AB0181896,Cajun Honey (Cajun Lovin' Style),Rod Bernard,"['bayou funk', 'chess records', 'doo-wop', 'funk soul', 'los angeles', 'pop', 'pop rock', 'rock', 'rockabilly', 'soul', 'swamp pop', 'swamp rock']","Opelousas, LA",30.53301,-92.08238,155,0
SONNXKA12AB018A294,Reminissin',Geiom Feat. Marita,"['abstract', 'ambient', 'bassotusta', 'breakstep', 'british', 'deep', 'downtempo', 'dub', 'dub techno', 'dubstep', 'dubtronica', 'electro', 'electronic', 'electronica', 'experimental', 'future jazz', 'intelligent dance music', 'london', 'neo ouija', 'pop', 'reggae', 'techno']",,,,140,0
SOZQJKU12A8C13A0C1,Fading Lady Light,Jefferson Starship,"['60s', '70s', '80s', 'acoustic', 'adult contemporary', 'album rock', 'alternative', 'american', 'arena rock', 'ballad', 'beautiful', 'blues', 'british', 'california', 'classic', 'classic rock', 'country rock', 'english', 'female', 'female vocalist', 'folk', 'folk rock', 'garage rock', 'glam rock', 'hard rock', 'male', 'male vocalist', 'metal', 'new wave', 'oldies', 'pop', 'pop rock', 'progressive', 'progressive rock', 'psychedelic', 'psychedelic rock', 'rock', 'soundtrack', 'united states', 'vocal']","San Francisco, CA",37.77916,-122.42005,122,0
SOVCPCV12AAFF41B75,Caseta del Plater,Pep Laguarda & Tapineria,['spanish'],,,,125,0
SOXFDJD12AB018580A,2 People,Ann Lee,"['80s', '90s', 'beats', 'british', 'canada', 'club dance', 'dance', 'dance music', 'dance pop', 'disco', 'downtempo', 'electro', 'electronic', 'electronica', 'euro disco', 'euro-house', 'eurobeat', 'eurodance', 'europop', 'female vocalist', 'french', 'germany', 'hard trance', 'house', 'italian', 'italian dance', 'italian disco', 'italy', 'japanese', 'latin', 'mexico', 'nederland', 'pop', 'portugal', 'spain', 'sweden', 'synthpop', 'tech house', 'techno', 'trance', 'vocal trance']",United States,,,170,0
SOKUUOE12A6D4F80EB,Sloppy (I Saw My Baby Gettin'),Devo,"['80s', '90s', 'alternative', 'alternative rock', 'classic', 'college rock', 'cult', 'dance rock', 'electronic', 'garage', 'grunge', 'guitar', 'indie', 'industrial', 'influential', 'instrumental', 'new wave', 'original', 'pop', 'punk', 'rock', 'soundtrack', 'synth', 'synthpop', 'underground', 'uplifting']",Georgia,,,89,1978
SOTSHSR12AB01899B6,Play The Part,Eyes Set to Kill,"['acoustic', 'alternative', 'alternative metal', 'black metal', 'death metal', 'emo', 'happy hardcore', 'hardcore', 'heavy', 'heavy metal', 'melodic', 'metal', 'metalcore', 'piano', 'rock', 'screamo', 'synth', 'technical']","Tempe, AZ",,,97,2010
SOTMGME12AB017F79B,Are You There (With Another Girl),Burt Bacharach,"['60s', 'acoustic', 'adult contemporary', 'am pop', 'american', 'ballad', 'baroque pop', 'brill building pop', 'canada', 'chanson', 'chill-out', 'classic', 'classic rock', 'classical', 'composer', 'country', 'disco', 'easy listening', 'electronic', 'film music', 'folk', 'fusion', 'germany', 'hip hop', 'instrumental', 'japan', 'jazz', 'latin jazz', 'lounge', 'male vocalist', 'oldies', 'orchestra', 'pop', 'pop rock', 'rock', 'singer-songwriter', 'smooth jazz', 'soft rock', 'soul', 'soul jazz', 'soundtrack', 'space age pop', 'synthpop', 'united states', 'vocal', 'world']",,,,116,1967
SOKGPRX12A8C138268,The Stranger,James Horner,"['beautiful', 'celtic', 'classic', 'classical', 'composer', 'electronic', 'game', 'los angeles', 'movie', 'orchestra', 'original score', 'piano', 'rock', 'soundtrack']","Los Angeles, CA",34.05349,-118.24532,186,2003
SONHEUO12AF72A4792,Intro,The Chi-Lites,"['acid jazz', 'afrobeat', 'ballad', 'blues', 'blues-rock', 'breakbeat', 'broken beat', 'chanson', 'chicago soul', 'classic rock', 'country rock', 'dancehall', 'deep house', 'disco', 'downtempo', 'drum and bass', 'dub', 'easy listening', 'electro', 'electronic', 'emo', 'folk rock', 'funk', 'future jazz', 'german pop', 'hard rock', 'hip hop', 'house', 'italian disco', 'jazz', 'jazz funk', 'motown', 'northern soul', 'oldies', 'pop', 'pop rock', 'post rock', 'psychedelic rock', 'quiet storm', 'r&b', 'rap', 'reggae', 'rock', 'roots reggae', 'smooth jazz', 'soft rock', 'soul', 'soul jazz', 'southern soul']","Chicago, IL",41.88415,-87.63241,139,0
SONHNAC12A8C13A15A,Tenderly,Eddie Calvert,"['60s', 'ballad', 'big band', 'bossa nova', 'brass', 'chanson', 'classic rock', 'cool jazz', 'disco', 'easy listening', 'evergreen', 'french', 'funk soul', 'instrumental', 'instrumental jazz', 'italy', 'jazz', 'latin', 'moje standards', 'norway', 'oldies', 'orchestral pop', 'pop', 'pop rock', 'rock', 'rockabilly', 'romantic', 'schlageroldies', 'soft rock', 'swing', 'united states', 'vocal']",,,,131,0
SOLSXXH12A8C143166,A.C.A.B. (Bumper Sessions),4 Skins,"['2 tone', '77 style punk', '80s', '80s hardcore', '80s punk', 'anarchy', 'british', 'british punk rock', 'classic', 'classic punk', 'england', 'english', 'european', 'hardcore', 'london', 'nationalist', 'nazi punk', 'oi', 'political punk', 'punk', 'rock', 'rock against communism', 'rockabilly', 'ska', 'skinhead', 'skinhead music', 'street music', 'street punk', 'white power']",,,,141,0
SOONMKD12A81C2413A,NOT IN LOVE,The Scare,"['alternative', 'alternative rock', 'america', 'art rock', 'birmingham', 'cape town', 'dc', 'dc hardcore', 'download festival 2007', 'electro', 'electronic', 'england', 'gothic rock', 'hardcore', 'hardcore punk', 'hip hop', 'indie', 'indie rock', 'melodic hardcore', 'melodic punk', 'metalcore', 'midlands', 'progressive', 'punk', 'punk ska', 'reading 2007', 'rock', 'south africa', 'spazcore', 'swamp rock', 'united states', 'washington dc', 'west midlands']",,,,95,0
SOQUAIH12AB0181406,I Wanna Be Where You Are,Michael Jackson,"['alternative', 'alternative rock', 'ballad', 'beautiful', 'black', 'classic', 'dance pop', 'disco', 'emotional', 'funk', 'funky', 'groove', 'jazz', 'male', 'motown', 'pop', 'rock', 'romantic', 'sentimental', 'singer', 'slow', 'smooth', 'smooth soul', 'soul', 'soundtrack', 'united states', 'urban', 'vocal', 'voice']",,,,208,1972
SORWVHN12A8C1459EA,Copacabana,Sivuca,"['00s', 'accordion', 'afro-cuban', 'batucada', 'bossa nova', 'brazil', 'brazilian', 'brazilian folk', 'brazilian jazz', 'brazilian music', 'brazilian pop music', 'chill-out', 'choro', 'classy', 'dub', 'easy listening', 'electro', 'electronic', 'folk', 'forro', 'funk', 'funk soul', 'hip hop', 'instrumental', 'jazz', 'jazz funk', 'latin', 'latin jazz', 'latin music', 'lusofonia', 'marimba', 'north east', 'old', 'reggae', 'reggae pop', 'salsa', 'samba', 'samba rock', 'soul', 'soul jazz', 'sweden', 'united states', 'world', 'world music']","Itabaiana, Para�, Brazil",-10.68641,-37.42475,148,0
SOKPBBP12A8AE49419,Nanã,Mario Telles,"['bossa nova', 'brazilian', 'latin', 'samba', 'singer']",,,,97,1962
SONXKLQ12A8C141242,Tappin' Out (LP Version),The Katies,"['alternative pop rock', 'alternative rock', 'classic rock', 'electric', 'energy', 'group', 'hard rock', 'lyrics', 'modern rock', 'pop', 'power pop', 'producer', 'rock', 'songs', 'united states']",,,,155,0
SONMZBU12A58A7D2D3,No Good In Goodbye,Jason Michael Carroll,"['00s', 'american', 'contemporary country', 'country', 'country rock', 'folk', 'male country', 'male vocalist', 'modern country', 'new country', 'rock', 'southern rock', 'wjfm']",,,,88,2007
SOBDYCT12AB0183AF5,Remember (Walkin' In the Sand),The Shangri-Las,"['all-female', 'alternative', 'alternative rock', 'art rock', 'ballad', 'blues', 'blues-rock', 'brill building pop', 'broken beat', 'chanson', 'classic rock', 'cool jazz', 'country rock', 'crunk', 'disco', 'doo-wop', 'downtempo', 'easy listening', 'electro', 'electronic', 'europop', 'female vocalist', 'folk rock', 'funk', 'garage rock', 'hip hop', 'indie', 'jazz', 'jazz funk', 'metal', 'motown', 'neo soul', 'oldies', 'pop', 'pop rock', 'psychedelic rock', 'punk', 'ragtime', 'reggae', 'rock', ""rock 'n roll"", 'rock steady', 'rockabilly', 'ska', 'soft rock', 'soul', 'soul jazz', 'soundtrack', 'surf music', 'techno']","Queens, NY",40.7038,-73.83168,66,1964
SODHEVC12A58A81DA0,Talking During Sex (LP Version),Martin Lawrence,"['american', 'beat', 'black', 'classic', 'comedian', 'comedy', 'electronic', 'funny', 'hip hop', 'house', 'humorous', 'old', 'producer', 'spoken word', 'stand-up comedy']",,,,62,0
SOBMWTE12A8C13C2AF,The Modern Rome Burning,Anti-Flag,"['aggressive', 'emo', 'hardcore punk', 'indie', 'melodic', 'metal', 'oi', 'political', 'political punk', 'pop', 'punk', 'punk revival', 'rock']","Pittsburgh, PA",,,179,2008
SOWOMMS12A8AE499EB,Life is Love,NO-TONE ft.Inusa,"['club', 'dance', 'electro', 'electro house', 'electronic', 'euro-house', 'hip hop', 'house', 'italian dance', 'italy', 'latin', 'mm', 'nederland', 'pop', 'power electronics', 'progressive house', 'reggaeton', 'sexy', 'spain', 'tech house', 'techno', 'trance', 'vocal']",,,,126,0
SOKBIAI12AB0180E97,Smith & Wesson,Frenchy,"['60s', 'alternative pop rock', 'alternative rock', 'american', 'bass', 'california', 'cover', 'crunk', 'drums', 'group', 'guitarist', 'instrumental', 'jazz', 'jazz vocal', 'klezmer', 'lounge', 'lyrical', 'marimba', 'modern', 'noisy', 'psychobilly', 'punk', 'radio', 'rock', 'rockabilly', 'sexy', 'singer', 'strange', 'vocalist', 'voice', 'world']",,,,97,0
SOOABJR12A58A779B0,Bring Out Your Dead,Cadacross,"['alternative rock', 'death metal', 'finish', 'finnish heavy metal', 'folk metal', 'heavy metal', 'melodic death metal', 'metal', 'power metal', 'rock', 'symphonic metal']",Finland,64.95014,26.06739,93,2002
SOXLEKB12A8C1338EE,Spawn (Again),Silverchair,"['alternative', 'alternative pop rock', 'alternative rock', 'classic', 'country', 'cover', 'experimental', 'funk', 'glam rock', 'grunge', 'guitar', 'heavy', 'high school', 'instrumental', 'lyrics', 'piano', 'pop', 'post-grunge', 'progressive', 'progressive rock', 'rock', 'united states']",Newcastle,,,138,0
SOVZKIS12AF72A0A93,Vietnamese Baby,The New York Dolls,"['70s', '80s', 'album rock', 'alternative', 'alternative rock', 'american', 'blues', 'blues-rock', 'classic', 'classic rock', 'emo', 'french', 'garage', 'garage rock', 'germany', 'glam', 'glam metal', 'glam rock', 'hard rock', 'hardcore', 'heavy metal', 'indie', 'indie rock', 'lo-fi', 'male vocalist', 'metal', 'new wave', 'new york', 'new york punk', 'pop punk', 'power pop', 'progressive rock', 'protopunk', 'punk', 'rock', ""rock 'n roll"", 'rockabilly', 'sexy', 'stoner rock', 'thrash metal', 'united states']","New York, NY",,,84,1973
SOGMYFZ12AC468ACED,Nadal De Luintra,Berrogüetto,"['bagpipe', 'celta galego', 'celtic', 'ethnic', 'female vocalist', 'folk', 'folk galego', 'folklore', 'gaita', 'galego', 'galicia', 'galiza', 'gallego', 'irish', 'lusofonia', 'roots', 'spain', 'spanish', 'tff rudolstadt', 'traditional', 'traditional folk', 'world']",,,,100,2000
SOPAZGG12AC3DF6DC1,Que Ves Por Tu Ventana,David Saylor,"['cover', 'gospel', 'latin', 'latino', 'soul', 'spain', 'spanish', 'spanish pop']",,,,122,0
SOFHVPF12A8C134ED7,Angry Chair,Alice In Chains,"['acoustic', 'aggressive', 'alternative', 'alternative metal', 'alternative pop rock', 'alternative rock', 'beautiful', 'classic', 'epic', 'grunge', 'guitar', 'hard rock', 'heavy', 'heavy metal', 'high school', 'lyrics', 'mellow', 'metal', 'rock', 'seattle', 'sludge', 'soul', 'soundtrack']","Seattle, WA",,,111,1992
SOGEWLT12AB018A185,Theme From the Victors,Frank Chacksfield,"['50s', '60s', 'ballad', 'big band', 'chanson', 'classical', 'easy listening', 'england', 'female vocalist', 'instrumental', 'italy', 'jazz', 'male', 'orchestra', 'orchestral pop', 'pop', 'soundtrack', 'sussex', 'swing', 'vocal']","Battle, Sussex, England",50.91552,0.48883,96,0
SOMQKIK12AB01824F5,Na Primeira Manhã,Alceu Valença,"['70s', 'acid jazz', 'alternative', 'argentina', 'blues', 'bossa nova', 'brazil', 'brazilian', 'brazilian music', 'brazilian pop music', 'dance', 'easy listening', 'electronic', 'experimental', 'folk', 'folk rock', 'folklore', 'forro', 'frevo', 'fusion', 'guitar', 'jam', 'jazz', 'jazz rock', 'latin', 'latin jazz', 'lusofonia', 'male vocalist', 'maracatu', 'oldies', 'pop', 'portugese', 'progressive', 'progressive rock', 'psychedelia', 'psychedelic', 'psychedelic rock', 'r&b', 'rock', ""rock 'n roll"", 'singer-songwriter', 'swing', 'tropical', 'world music']",,,,122,1997
SOIMAKW12AB01887BF,Dolores,The Merry Macs,"['40s', 'america', 'ballad', 'beat', 'big band', 'chant', 'classic', 'close harmony', 'country', 'deep', 'female', 'female vocalist', 'group', 'harmony', 'los angeles', 'massachusetts', 'minneapolis', 'minnesota', 'orchestral pop', 'original', 'pop', 'pretty', 'sentimental', 'texas', 'united states', 'vocal', 'vocalist', 'world', 'world reggae']","Minneapolis, MN",44.97903,-93.26493,71,0
SOAGEUK12A8C137581,Only You,Nana Mouskouri,"['60s', '70s', '80s', '90s', 'ballad', 'beautiful', 'bolero', 'brazilian', 'brill building pop', 'cabaret', 'canada', 'chanson', 'christmas music', 'classical', 'country', 'country rock', 'easy listening', 'europop', 'female vocalist', 'folk', 'french', 'french pop', 'german', 'german pop', 'germany', 'greek', 'jazz', 'latin', 'mambo', 'mellow', 'nederland', 'new zealand', 'oldies', 'opera', 'pop', 'pop rock', 'rock', 'romantic', 'smooth jazz', 'soul', 'spanish', 'swing', 'vocal', 'vocal pop', 'world', 'world music']","Athens, Greece",37.97615,23.73641,137,1997
SOWMHFS12AB017F85E,Change Your Mind,KMD,"['90s', 'alternative', 'alternative hip hop', 'ambient', 'american', 'black', 'classic', 'doom metal', 'downtempo', 'drum and bass', 'electro', 'electronic', 'electronica', 'funk', 'garage', 'grime', 'hip hop', 'indie', 'japan', 'jazz', 'lounge', 'metal', 'new york', 'nu jazz', 'old school', 'piano', 'political', 'pop', 'psychedelic', 'punk', 'rap', 'rock', 'soul', 'trip hop', 'underground hip hop']",,,,120,0
SOITIZR12A8C13BA50,Wartime Blues,Blind Lemon Jefferson,"['acoustic', 'acoustic blues', 'acoustic guitar', 'alternative', 'american', 'bluegrass', 'blues', 'cajun', 'chicago blues', 'chill-out', 'classic blues', 'classic rock', 'country', 'country blues', 'delta blues', 'emo', 'field recording', 'folk', 'funk', 'gospel', 'guitar', 'guitar gods', 'guitar virtuoso', 'instrumental', 'italy', 'japan', 'jazz', 'louisiana blues', 'male', 'male vocalist', 'mellow', 'new zealand', 'oldies', 'ragtime', 'smooth jazz', 'solo', 'soul', 'texas', 'texas blues', 'traditional', 'world', 'world music']","Couchman, TX",31.1689,-100.07715,162,1927
SOVLRKB12AC4687C3B,World Destruction (2005 Digital Remaster),Time Zone,"['00s', '80s', '90s', 'acoustic', 'alternative', 'alternative dance', 'alternative hip hop', 'american', 'beat', 'blues', 'classical', 'club', 'country', 'electro', 'electronic', 'electronica', 'emo', 'experimental', 'folk', 'freestyle', 'funk', 'hip hop', 'japanese', 'jazz', 'metal', 'new wave', 'political', 'pop', 'punk', 'r&b', 'rap', 'rock', 'soul', 'techno', 'underground rap', 'united states']","HARPERSVILLE, Alabama",,,92,0
SOQUAKN12A8AE486C2,La Fruta Bomba,Fruko Y Sus Tesos,"['afro-cuban', 'afro-cuban jazz', 'american', 'charanga', 'colombia', 'colombian', 'cumbia', 'electronic', 'experimental', 'funk', 'funk soul', 'industrial', 'jazz', 'latin', 'latin and mediterranean', 'latin jazz', 'latino', 'male vocalist', 'mambo', 'noise', ""rock 'n roll"", 'salsa', 'salsa colombiana', 'spanish', 'world music']",,,,85,2000
SOBEXVO12AB0180C53,O.T. (Skit),Cam'Ron,"['classic', 'east coast rap', 'gangsta', 'hardcore', 'hardcore rap', 'hip hop', 'new york', 'pop', 'rap', 'soul', 'underground', 'urban']","Harlem, NY",40.8079,-73.9454,215,2004
SOCZUUF12A58A7BE8C,Wildflower,Bon Jovi,"['80s', 'acoustic', 'adult contemporary', 'arena rock', 'ballad', 'beautiful', 'classic', 'cover', 'guitar', 'hard rock', 'heavy', 'metal', 'original', 'party music', 'piano', 'pop', 'rock', 'song writer', 'soundtrack', 'united states', 'vocal']","Sayreville, NJ",,,93,2005
SOHHVZZ12A6D4F9848,Stop That Thing,Sleepy John Estes,"['60s', 'acoustic', 'acoustic blues', 'big band', 'blues', 'blues guitar', 'blues-rock', 'cajun', 'chicago blues', 'classic blues', 'contemporary jazz', 'country', 'country blues', 'delta blues', 'folk', 'gospel', 'guitar', 'hi fidelity', 'hip hop', 'jazz', 'louisiana blues', 'memphis blues', 'mississippi', 'piano blues', 'piedmont blues', 'ragtime', 'relax', 'rock', 'singer-songwriter', 'smooth jazz', 'soul', 'swing', 'texas blues', 'united states', 'world']","Ripley, TN",35.74595,-89.53176,97,1935
SOQTINJ12A58A7DD36,Drumroll (We're All Thirsty),P.O.S,"['alternative', 'alternative hip hop', 'alternative rap', 'alternative rock', 'american', 'blues', 'classical', 'club', 'country', 'dj', 'doom metal', 'electronic', 'electronica', 'experimental', 'folk', 'freestyle', 'hard trance', 'hardcore', 'hip hop', 'indie', 'jazz', 'los angeles', 'melodic', 'melodic trance', 'minnesota', 'political', 'progressive trance', 'punk', 'rap', 'rap rock', 'reggae', 'remix', 'rhymesayers', 'rock', 'soul', 'underground', 'underground hip hop', 'underground rap', 'united states']",,,,108,0
SOJDYFO12A8C141BA4,Tu Vuo_ Fa_ L_ Americano,Rita Chiarelli,"['80s', '90s', 'accordion', 'acoustic', 'america', 'ballad', 'berlin', 'blues', 'canada', 'canadian', 'cover', 'female', 'female vocalist', 'group', 'guitar', 'guitarist', 'italy', 'lyrics', 'modern electric blues', 'north america', 'original', 'r&b', 'rock', 'rockabilly', 'singer', 'soul', 'soundtrack', 'tex mex', 'vocalist', 'world']",,,,96,0
